station,year,month,tmax,tmin,af,rain,sun
Oxford,2023,10,17.0,9.7,0.0,137.8,107.5
Oxford,2023,11,11.1,4.9,3.0,78.5,88.5
Oxford,2023,12,10.2,5.2,5.0,117.2,21.9
Oxford,2024,1,8.0,2.6,6.0,77.0,70.7
Oxford,2024,2,11.4,5.7,2.0,122.3,49.6
Oxford,2024,3,12.5,5.7,2.0,79.8,103.4
Oxford,2024,4,14.1,6.3,0.0,57.2,156.4
Oxford,2024,5,18.7,9.9,0.0,69.9,179.3
Oxford,2024,6,20.7,10.3,0.0,14.2,255.4
Oxford,2024,7,22.4,12.7,0.0,69.7,202.6
Oxford,2024,8,22.8,13.2,0.0,36.0,202.2
Oxford,2024,9,18.4,10.9,0.0,197.1,97.8
Oxford,2024,10,15.3,8.6,0.0,72.7,100.5
Oxford,2024,11,10.5,5.3,5.0,74.7,54.3
Oxford,2024,12,9.2,5.0,0.0,45.2,19.7
Oxford,2025,1,6.8,0.8,12.0,71.8,50.9
Oxford,2025,2,8.4,2.6,4.0,48.2,66.1
Oxford,2025,3,13.2,2.9,8.0,1.6,161.9
Oxford,2025,4,17.3,4.9,0.0,18.9,258.9
Oxford,2025,5,19.6,8.2,0.0,26.0,266.8
Oxford,2025,6,24.0,13.6,0.0,22.1,268.0
Oxford,2025,7,25.3,14.6,0.0,40.7,217.8
Oxford,2025,8,24.2,13.4,0.0,23.5,205.2
Oxford,2025,9,19.2,10.4,0.0,74.4,178.3
Oxford,2025,10,14.6,9.3,0.0,52.7,60.3
Oxford,2025,11,12.0,6.3,6.0,124.2,81.4
Oxford,2025,12,9.6,4.6,2.0,76.8,68.0
